,Growth,Real Rates,Commodity,Emerging Markets
2015-01-23,0.01881645330397208,0.0020464096473598037,-0.02989397293563467,0.028518337495383572
2015-01-30,-0.01572682108523127,0.0013128624047262782,0.026182591836384494,-0.034402221350668616
2015-02-06,0.025384703626620375,-0.008413155115271187,0.04999916400541715,0.005671348614120442
2015-02-13,0.018107719354323093,-0.004076985234702124,0.025379223368376058,0.00030068256246951197
2015-02-20,0.010078018303690595,0.000516319380416963,-0.023055229434163826,-0.009726668885124412
2015-02-27,0.0032014919574170353,0.006782409967193592,0.012195470889512672,0.004966716286571082
2015-03-06,-0.015476135148951964,-0.03152345037161797,-0.024552498751488017,-0.02284862239968316
2015-03-13,-0.010857250755286985,-0.007938908211099216,-0.05254989341902738,-0.039634989648700325
2015-03-20,0.03151347395883031,0.03566801310875678,0.012245022804358241,0.025881898282549498
2015-03-27,-0.014542818808506608,0.0005151225255723979,0.011428763282915533,0.0011623708152971313
2015-04-03,0.0047574334898277115,-0.00029420417769943086,0.0,0.04403088868737948
2015-04-10,0.016447573359915424,-0.010741612713360604,0.01685316797732117,0.04015352704241337
2015-04-17,-0.00424456022065578,0.018295403837572444,0.04221972669639529,0.008383755496407352
2015-04-24,0.017373774679531495,0.0035787321063396327,0.008601167077513905,0.010508920262530919
2015-05-01,-0.007774685382381352,-0.003347645731751725,0.019310259157466536,-0.0041232199974165495
2015-05-08,0.004923930607640514,0.0028842643300475146,-0.0010998619840779655,-0.009112879682618757
2015-05-15,0.00937485778431757,0.009829262077250656,0.01125473522396625,0.013648682512025223
2015-05-22,-0.0012023024091133427,-0.02166624607952694,-0.019586671170736425,-0.007777925924491835
2015-05-29,-0.012865074707714586,-0.0013265531726730506,-0.006411163546197973,-0.032024200506157285
2015-06-05,-0.009039082982744917,-0.012840380783705863,-0.015118864057168668,-0.01946712753429014
2015-06-12,0.005691344541692844,0.010652612693428987,0.007840523623742879,-0.0009857584822995369
2015-06-19,0.002997812820238366,0.011871740818817367,-0.014554642294555276,0.0007870864593950699
2015-06-26,0.0010826966771886326,-0.016045321637427112,0.009708184692911903,-0.00017017692926091232
2015-07-03,-0.017487204484523566,0.004271758107054158,0.0,-0.00899820277622465
2015-07-10,-0.0024651162790698677,-0.005807072052078643,-0.04604277303706128,-0.032412882928192
2015-07-17,0.020204846054615144,-0.0016369656609248606,-0.02593173161922968,0.001969492182820942
2015-07-24,-0.01946953885528857,0.005999627352338166,-0.044691776200372346,-0.03459075159753422
2015-07-31,0.010937961251029193,0.010520077048451704,-0.02134474733455527,-0.023590922225863786
2015-08-07,-0.00995896537415264,-0.005021994134897345,-0.03496717992761178,-0.012681747606223481
2015-08-14,-0.0005743647060649781,0.004236819806211489,-0.0039038690932479136,-0.037478163059816993
2015-08-21,-0.05180019260041635,0.009391738205297484,-0.04630175349027532,-0.04725520870986022
2015-08-28,0.0050780546136584,-0.021152867631024197,0.05040759853414123,0.0016800747574682307
2015-09-04,-0.03595351793601387,-0.00033417495915633033,-0.0021135073354444645,-0.030179672497339494
2015-09-11,0.02011800307687106,0.006685733387809423,-0.00958350075669101,0.008576958676105195
2015-09-18,0.003993967617374805,0.006087886949784238,-0.017596942431722162,0.03785401869895877
2015-09-25,-0.02355485127595669,-0.021233680504620822,0.012362117808705664,-0.047473027723481276
2015-10-02,0.008131180796213444,0.01494997939225895,-0.010400265344013282,0.01988266479671441
2015-10-09,0.0415017774498625,-0.001919669226225551,0.053961698635836663,0.06657550591480921
2015-10-16,0.005393569577047508,0.0038467228880010307,-0.031014694056583192,0.008993662060775787
2015-10-23,0.012538833552188988,-0.008327192336035294,-0.032810879118806424,-0.006977505636974302
2015-10-30,-0.0005693589966629942,0.0014490599687895234,0.017796620085258397,-0.021035219782045533
2015-11-06,0.0007121041887552249,-0.027195488442844917,-0.02992412630288155,0.0005935290443419561
2015-11-13,-0.02855877794996675,0.008047292143402052,-0.052348203246283975,-0.026761621051228146
2015-11-20,0.028372835004557784,0.004086111006015525,-0.005160505045873287,0.024329248544240234
2015-11-27,0.000633161851998354,0.0009796902671539431,-0.001227682780177819,-0.028632846326598793
2015-12-04,-0.0033694534525033903,-3.76435159044064e-05,-0.017565277218418496,-0.007332439124105583
2015-12-11,-0.033332275165867786,0.005985544345731286,-0.0664998441376542,-0.05237347679637783
2015-12-18,-0.0021017372171685533,-0.012947648093402875,-0.020758618165849452,0.030186044790894706
2015-12-25,0.023825978214367938,0.0,0.0,0.007546215490876862
2016-01-01,-0.00549644820160089,0.0,0.0,-0.00886691109985227
2016-01-08,-0.06027795733678076,-0.007620275239792251,-0.04172934086980895,-0.05541026309674285
2016-01-15,-0.02780739466895954,-0.0035528728606357696,-0.06842256638246635,-0.04058669764655348
2016-01-22,0.009198167442024952,-0.0021853314419353342,0.0395602325471871,-0.0019345729807989098
2016-01-29,0.017106900601195463,0.008414662260816108,0.03612686939057008,0.04212950589048314
2016-02-05,-0.023178066139344033,0.016307868165365003,-0.035484215742477176,0.008255610520143952
2016-02-12,-0.0264272105003176,-0.00041240205451209544,-0.013151399760242488,-0.026568941039395666
2016-02-19,0.03714710252600306,-0.01053934438526738,-0.004164901517432873,0.028221192091807734
2016-02-26,0.012125235865539041,-0.010120920359349639,0.021408765446652378,-0.007069509273356256
2016-03-04,0.0370964957707578,0.014245232442368083,0.049005439473314594,0.07212093586926605
2016-03-11,0.011235206977479706,0.010647134335120434,0.03723989476201872,0.01416356991285106
2016-03-18,0.01376041083714652,0.014644351464435212,0.01181082389835586,0.03347682630847748
2016-03-25,-0.01328137684689068,-0.017010309278350566,0.0,-0.016499824403343744
2016-04-01,0.012423484499440418,0.013371788148925035,-0.056245328082554,0.028914999827123977
2016-04-08,-0.003803208347554765,0.0021437811864719603,0.03488911212425627,-0.011483405164580351
2016-04-15,0.02440735483660461,-0.003725150296905455,0.014845062535000952,0.02951607737653994
2016-04-22,0.009285065855484387,-0.002739523174885239,0.034939598364764235,-0.005097398294759525
2016-04-29,-0.007100927854572947,0.013660999331798873,0.03575062539156404,0.008325773333194342
2016-05-06,-0.015829121769810328,-0.003076246978685915,-0.028592265288174934,-0.04733163099896465
2016-05-13,-0.004166262959015676,-0.0026449195503637224,0.025936230347995082,-0.01260169696670993
