,Bonds_US_10Y,Bonds_Canada_10Y,Bonds_Germany_10Y,Bonds_UK_10Y,Equity_US_Big,Equity_US_Small,Equity_EMU,Equity_EMU_Small,Equity_UK,Equity_Japan_Broad,Equity_EM,Commodity_WTI,Commodity_Gold,Commodity_Copper
2015-01-23,-0.0014438692924814145,0.015355222190772677,0.008193597560975263,0.006244351326925468,0.0153999006458021,0.010752688172043001,0.05683947532792044,0.04259438498584567,0.04314994606256728,0.019619326269927573,0.03218104432679336,-0.03459181656453847,0.009680924627086807,-0.03355450236966828
2015-01-30,0.009278031709260448,0.015262387622830387,0.004158004158004047,0.011431370947987185,-0.027152641878668837,-0.019587977034785764,-0.010342789598108859,-0.003714020506889626,-0.009307135470527417,0.005169442599659124,-0.0430453585436994,-0.024570024570024662,-0.012718912043831354,-0.009219301686936077
2015-02-06,-0.01647526265520549,-0.012081274025260602,-0.006085701737875482,-0.024541858399935723,0.03243650993210956,0.03608336203926954,0.01463123320394133,0.02236719468443238,0.013644497464956995,0.01771428626893279,0.02133473462953206,0.14273719563392095,-0.03250421167376871,0.04058602256978827
2015-02-13,-0.003763242043896886,0.0004863813229567526,0.0035980305516980504,-0.0024828271124716084,0.019727228446175582,0.014878231235973649,0.015597410241318777,0.01823154095997337,0.00566384700257494,0.01375631604490457,0.020477464498867892,0.026818515797207843,-0.0006657789613847553,0.010083713850837173
2015-02-20,-0.006457705576662698,2.220446049250313e-16,-0.0010692496383423178,-0.007964822036008012,0.006448531167901006,0.005487305487305472,0.011590843233844517,0.008057296361808186,0.005997659449970438,0.026031570603231913,0.0001008369466570791,-0.03738819320214659,-0.020396658637831133,-0.0009417969485779887
2015-02-27,0.007971348355614971,0.00923675255226053,0.004029719178945346,-0.0016726603663125283,-0.002017085904129301,0.0031766718253642967,0.028358636493841738,0.01865008851653749,0.006252726479569315,0.018353576269855676,0.00010082677959322162,-0.030477606392863787,0.009207428720899857,0.02752639517345412
2015-03-06,-0.013018807539835309,-0.02518579686209721,-0.006953717857018815,-0.014576526765519016,-0.015218166686481793,-0.010555375121792387,0.008077994428969282,0.008718395732087325,-0.003468208092485714,-0.000265041308561198,-0.03397519911281399,0.004408663983132,-0.03488673474677306,-0.025504587155963265
2015-03-13,0.008012623274161523,0.010588733587462817,0.01171875,0.02167814333078355,-0.01014125316914194,0.010421795503036124,0.009671179883946168,0.01253241161248364,-0.02428944315545245,0.022641827224353372,-0.02609058651638496,-0.08587786259541985,-0.018530454398968832,0.02033515345509307
2015-03-20,0.011879334129423436,0.013986224535549985,0.0048737261852020985,0.014727908137792678,0.02857750825116878,0.025046698611224105,0.022246538538851057,0.012063126873351315,0.04338074795829172,0.019000520592215686,0.045319906103737706,-0.0012526096033401712,0.027198599025885173,0.03727625023066983
2015-03-27,2.220446049250313e-16,-0.005019170442663423,-0.0013857394809779766,-0.0005500214179728902,-0.0222698582827201,-0.021740852837244917,-0.014488791689447611,-0.012836970479002119,-0.024055723107856197,-0.010727969340942112,-0.014242955929404388,0.06020066889632103,0.012626531699520438,-0.00017790428749331344
2015-04-03,0.009592229237493921,0.004974427240244328,0.0013245868550519901,-0.004378717779246699,0.003410475030450444,0.014254474771199677,0.010540915395284234,0.02080624219755922,-0.004635420498859344,-0.0010327913738740202,0.046487278818971633,-0.02247634069400628,-0.001473141474193751,-0.012989323843416445
2015-04-10,-0.00853897610795451,-0.00425264919129964,0.0027716535433068845,-0.0004978839930294132,0.017479970866715266,0.007905453964705211,0.02827340104309628,0.03609341843229208,0.04132170313424033,0.035668131454541285,0.04072036018009029,0.05042355788624442,0.007903472258812272,0.00576888408148557
2015-04-17,0.007763221737020931,-0.003290625218791643,0.006909981782775576,0.0010792860107926572,-0.009544261512765884,-0.01022025035652041,-0.03790710090763494,-0.03442622990379873,-0.013771562433449458,-0.023209383688368,-0.004037685060565566,0.08525345622119818,-0.0024047258089809898,0.004660333393081251
2015-04-24,-0.0032500722195470955,-0.0025288002247818575,-0.006238692370078902,-0.004561287112290535,0.017465670922669263,0.011926678940206381,0.012763596004439437,0.012308998547665428,0.012380335420715705,0.025549310578883766,0.026061776061776065,-0.004777070063694322,-0.02221872871141861,-0.0048171275646743394
2015-05-01,-0.01243753410216819,-0.01978873239436607,-0.01625965220666714,-0.015496125968507912,-0.004853794246477916,-0.03164056320202435,-0.02246575342465784,-0.018867924528301994,-0.012513330963384806,-0.017688091869408784,-0.016180620884289953,0.02382222222222219,-0.004126694892545246,0.06346360702760845
2015-05-08,0.00036625077378316107,-0.0007902866585244306,-0.012380344607530014,-0.0026233392570023106,0.0033309540804189464,0.004084299950988246,0.00980941704035887,0.008974359078987026,0.009719922240621903,-0.003043368159788784,-0.00640657869573491,0.002604618857440455,0.010547841997632146,-0.0028658125421443525
2015-05-15,0.001589634829900266,-2.220446049250313e-16,-0.007753941586973845,-0.002375699983031332,0.0049798434906329625,0.009762447120077677,-0.016375242853177596,0.004235493088888154,-0.008770678836280243,0.007122869494953221,0.006736598979886654,0.0001731901627988197,0.03136649270422831,0.0032121724429416965
2015-05-22,-0.005857942549985395,-0.005895887259132038,0.002865329512894199,-0.001105630209218611,0.0025955639452575063,0.006767644215275537,0.03555304740406284,0.014339941025479419,0.010934465146392514,0.028795150693238014,-0.009654908708537024,-0.006580086580086575,-0.014199411369855919,-0.04196157735085948
2015-05-29,0.008101740004226698,0.01461015478084815,0.009285714285714342,0.010387398893145994,-0.008707931277948,-0.0042413572343148465,-0.029427792915531104,-0.01787941784851843,-0.0088237387034803,0.004419346589229045,-0.03774131274131254,-0.005054906745685872,-0.01356589147286813,-0.025505716798592815
2015-06-05,-0.018509498295177673,-0.017322497861419484,-0.02431962941517074,-0.021572427740794042,-0.006528964862297815,0.012939001848429221,-0.014879281302638603,-0.017358170974786757,-0.023332615406705615,0.006110975267455743,-0.02427525328518343,-0.025753328661527686,-0.016619763181649372,-0.012635379061371799
2015-06-12,0.0012410918114136305,0.003917301414580354,-0.0002647603918458641,0.00912927396434382,0.0003584657665189894,0.004284354173278659,-0.001994870333428267,-0.0073244291610534695,-0.0018376947956483258,-0.012390670667693393,0.004523491312840244,0.0336270454954144,0.009287257019438444,-0.008043875685557644
2015-06-19,0.010071557188520153,0.006776035671478997,0.006620762711865069,-0.0027310745071257303,0.006179493599632435,0.016045188813398337,-0.013133694418391073,-0.018225313798672316,-0.011626579343475774,-0.010578105409554395,-0.005080424487913127,-0.013221990257480831,0.01674513160710478,-0.04072981938813125
2015-06-26,-0.01234415748063833,-0.014397249480696428,-0.012167850565640848,-0.014056589056917312,-0.0009534024550114095,-0.005061775431339566,0.049536500579373755,0.041648205455789844,0.007057586905924174,0.037046245741975126,0.004357298474945148,-0.005465444287729215,-0.022625624835569624,0.0205571565802114
2015-07-03,0.006874342082108242,0.01678779069767411,0.010719754977029483,0.015134283964657325,-0.012883216032446576,-0.02719599874960943,-0.05216671266905848,-0.033602721932052604,-0.02519943338552133,-0.017741549011346835,-0.004338394793925837,-0.0632866513029604,-0.00398384925975781,-0.00470632530120485
